Année,Transmission,Type de carburant,Type,Secteur,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Prix
2014,Automatique,Diesel,"Voitures d'occasion, à vendre",Oulfa,120 000 - 129 999,Mercedes-Benz,Classe E,5.0,WW au Maroc,Oui,8 CV,Excellent,183 000 DH
2001,Manuelle,Diesel,"Voitures d'occasion, à vendre",Ben Souda,400 000 - 449 999,Citroen,Xsara,5.0,Dédouanée,,8 CV,Très bon,45 000 DH
2012,Manuelle,Diesel,"Voitures d'occasion, à vendre",Agdal,300 000 - 349 999,Dacia,Logan,5.0,WW au Maroc,Non,6 CV,Excellent,72 000 DH
2010,Manuelle,Essence,"Voitures d'occasion, à vendre",Ain Sebaa,190 000 - 199 999,Dacia,Sandero,5.0,WW au Maroc,Oui,8 CV,Excellent,64 000 DH
2016,Automatique,Diesel,"Voitures d'occasion, à vendre",Maarif,130 000 - 139 999,Volvo,S60,5.0,WW au Maroc,Oui,8 CV,Très bon,148 000 DH
2018,Manuelle,Diesel,"Voitures d'occasion, à vendre",2 Mars,160 000 - 169 999,Fiat,Doblo,5.0,WW au Maroc,Non,5 CV,Très bon,97 000 DH
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Hay Al Hassani,80 000 - 84 999,Audi,Q3,5.0,WW au Maroc,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2009,Automatique,Diesel,"Voitures d'occasion, à vendre",Centre,300 000 - 349 999,Mercedes-Benz,Classe E,5.0,WW au Maroc,Non,9 CV,Bon,138 000 DH
2020,Manuelle,Diesel,"Voitures d'occasion, à vendre",Hay Salam,80 000 - 84 999,Dacia,Sandero,5.0,WW au Maroc,Oui,6 CV,Excellent,130 000 DH
2014,Automatique,Diesel,"Voitures d'occasion, à vendre",El Houda,190 000 - 199 999,Volkswagen,Golf 7,5.0,Dédouanée,Non,6 CV,Excellent,167 000 DH
2009,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,190 000 - 199 999,BMW,X6,,Dédouanée,,12 CV,,140 000 DH
2019,Automatique,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,90 000 - 94 999,Renault,Clio,5.0,WW au Maroc,Oui,6 CV,Excellent,137 000 DH
2021,Manuelle,Diesel,"Voitures d'occasion, à vendre",Branes 2,85 000 - 89 999,Hyundai,i20,5.0,WW au Maroc,Non,6 CV,Très bon,130 000 DH
2016,Manuelle,Diesel,"Voitures d'occasion, à vendre",Wislane,200 000 - 249 999,Citroen,C4,,,Non,6 CV,Très bon,103 000 DH
2010,Manuelle,Diesel,"Voitures d'occasion, à vendre",Yacoub El Mansour,250 000 - 299 999,Kia,Sorento,5.0,WW au Maroc,,9 CV,Bon,85 000 DH
2014,Automatique,Diesel,"Voitures d'occasion, à vendre",Oulfa,160 000 - 169 999,Land Rover,Range Rover Sport,5.0,Importée neuve,Oui,12 CV,Excellent,345 000 DH
2023,Automatique,Diesel,"Voitures d'occasion, à vendre",Hay Alqods,80 000 - 84 999,Hyundai,Tucson,5.0,WW au Maroc,Oui,6 CV,Très bon,260 000 DH
2005,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,300 000 - 349 999,Mercedes-Benz,220,,Dédouanée,,8 CV,,110 000 DH
2017,Automatique,Hybride,"Voitures d'occasion, à vendre",Wilaya,90 000 - 94 999,Audi,Q7,5.0,Dédouanée,Oui,12 CV,Excellent,460 000 DH
2013,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,160 000 - 169 999,BMW,X3,,,,8 CV,,170 000 DH
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,90 000 - 94 999,BMW,Série 1,5.0,Dédouanée,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2022,Manuelle,Diesel,"Voitures d'occasion, à vendre",El Matar,80 000 - 84 999,Renault,Express,,WW au Maroc,Oui,5 CV,Excellent,165 000 DH
2019,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,110 000 - 119 999,Mercedes-Benz,Classe C,,,,8 CV,,440 000 DH
2006,Manuelle,Essence,"Voitures d'occasion, à vendre",Massira,100 000 - 109 999,Mercedes-Benz,280,5.0,WW au Maroc,Non,15 CV,Très bon,PRIX NON SPÉCIFIÉ
2016,Automatique,Diesel,"Voitures d'occasion, à vendre",Ain Amiyer,120 000 - 129 999,Maserati,Ghibli,5.0,WW au Maroc,Oui,12 CV,Excellent,PRIX NON SPÉCIFIÉ
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Al Kodia,110 000 - 119 999,Ford,Focus,5.0,Dédouanée,Oui,6 CV,Excellent,PRIX NON SPÉCIFIÉ
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",El Houda,5 000 - 9 999,Mercedes-Benz,Classe CLA,5.0,WW au Maroc,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2024,Automatique,Essence,"Voitures d'occasion, à vendre",Route Ain Chkaf,20 000 - 24 999,Audi,A3,5.0,Dédouanée,Oui,20 CV,Excellent,PRIX NON SPÉCIFIÉ
2018,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,180 000 - 189 999,Renault,Megane,,,,6 CV,,160 000 DH
2023,Automatique,Diesel,"Voitures d'occasion, à vendre",Hay Al Massar,65 000 - 69 999,Hyundai,Creta,5.0,WW au Maroc,Oui,6 CV,Excellent,PRIX NON SPÉCIFIÉ
2016,Automatique,Diesel,"Voitures d'occasion, à vendre",Agdal,180 000 - 189 999,Volkswagen,Touareg,5.0,WW au Maroc,Non,12 CV,Excellent,214 998 DH
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Anfa,60 000 - 64 999,Mercedes-Benz,Classe GLE,5.0,WW au Maroc,Oui,8 CV,Excellent,720 000 DH
2022,Manuelle,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,120 000 - 129 999,Dacia,Sandero,5.0,WW au Maroc,Non,6 CV,Très bon,139 998 DH
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,95 000 - 99 999,BMW,Série 3,,,,8 CV,,310 000 DH
2022,Manuelle,Essence,"Voitures d'occasion, à vendre",Ain Sebaa,100 000 - 109 999,Kia,Picanto,5.0,WW au Maroc,Non,6 CV,Très bon,108 998 DH
1998,Manuelle,Diesel,"Voitures d'occasion, à vendre",Anoual Souss,100 000 - 109 999,Peugeot,504,,WW au Maroc,Non,9 CV,Très bon,45 000 DH
2015,Manuelle,Diesel,"Voitures d'occasion, à vendre",Toute la ville,170 000 - 179 999,Toyota,RAV 4,5.0,WW au Maroc,Oui,8 CV,Très bon,148 000 DH
2019,Manuelle,Diesel,"Voitures d'occasion, à vendre",Route Ain Chkaf,70 000 - 74 999,Dacia,Sandero,5.0,WW au Maroc,Oui,6 CV,Excellent,PRIX NON SPÉCIFIÉ
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Californie,65 000 - 69 999,Mitsubishi,Pajero Sport,5.0,WW au Maroc,Oui,10 CV,Neuf,340 000 DH
2019,Manuelle,Diesel,"Voitures d'occasion, à vendre",Oulfa,130 000 - 139 999,Renault,Captur,5.0,WW au Maroc,,6 CV,,PRIX NON SPÉCIFIÉ
2014,Automatique,Diesel,"Voitures d'occasion, à vendre",El Houda,190 000 - 199 999,Volkswagen,Golf 7,5.0,Dédouanée,Non,6 CV,Excellent,167 000 DH
2015,Manuelle,Essence,"Voitures d'occasion, à vendre",Aïn Diab,0 - 4 999,Dacia,Logan,,,Oui,5 CV,Très bon,PRIX NON SPÉCIFIÉ
2023,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,25 000 - 29 999,BMW,Série 1,5.0,WW au Maroc,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Toute la ville,5 000 - 9 999,Skoda,Octavia,5.0,Dédouanée,Non,9 CV,Très bon,265 000 DH
2014,Automatique,Diesel,"Voitures d'occasion, à vendre",Oulfa,120 000 - 129 999,Mercedes-Benz,Classe E,5.0,WW au Maroc,Oui,8 CV,Excellent,183 000 DH
2001,Manuelle,Diesel,"Voitures d'occasion, à vendre",Ben Souda,400 000 - 449 999,Citroen,Xsara,5.0,Dédouanée,,8 CV,Très bon,45 000 DH
2012,Manuelle,Diesel,"Voitures d'occasion, à vendre",Agdal,300 000 - 349 999,Dacia,Logan,5.0,WW au Maroc,Non,6 CV,Excellent,72 000 DH
2010,Manuelle,Essence,"Voitures d'occasion, à vendre",Ain Sebaa,190 000 - 199 999,Dacia,Sandero,5.0,WW au Maroc,Oui,8 CV,Excellent,64 000 DH
2016,Automatique,Diesel,"Voitures d'occasion, à vendre",Maarif,130 000 - 139 999,Volvo,S60,5.0,WW au Maroc,Oui,8 CV,Très bon,148 000 DH
2018,Manuelle,Diesel,"Voitures d'occasion, à vendre",2 Mars,160 000 - 169 999,Fiat,Doblo,5.0,WW au Maroc,Non,5 CV,Très bon,97 000 DH
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Hay Al Hassani,80 000 - 84 999,Audi,Q3,5.0,WW au Maroc,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2009,Automatique,Diesel,"Voitures d'occasion, à vendre",Centre,300 000 - 349 999,Mercedes-Benz,Classe E,5.0,WW au Maroc,Non,9 CV,Bon,138 000 DH
2020,Manuelle,Diesel,"Voitures d'occasion, à vendre",Hay Salam,80 000 - 84 999,Dacia,Sandero,5.0,WW au Maroc,Oui,6 CV,Excellent,130 000 DH
2014,Automatique,Diesel,"Voitures d'occasion, à vendre",El Houda,190 000 - 199 999,Volkswagen,Golf 7,5.0,Dédouanée,Non,6 CV,Excellent,167 000 DH
2009,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,190 000 - 199 999,BMW,X6,,Dédouanée,,12 CV,,140 000 DH
2019,Automatique,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,90 000 - 94 999,Renault,Clio,5.0,WW au Maroc,Oui,6 CV,Excellent,137 000 DH
2021,Manuelle,Diesel,"Voitures d'occasion, à vendre",Branes 2,85 000 - 89 999,Hyundai,i20,5.0,WW au Maroc,Non,6 CV,Très bon,130 000 DH
2016,Manuelle,Diesel,"Voitures d'occasion, à vendre",Wislane,200 000 - 249 999,Citroen,C4,,,Non,6 CV,Très bon,103 000 DH
2010,Manuelle,Diesel,"Voitures d'occasion, à vendre",Yacoub El Mansour,250 000 - 299 999,Kia,Sorento,5.0,WW au Maroc,,9 CV,Bon,85 000 DH
2014,Automatique,Diesel,"Voitures d'occasion, à vendre",Oulfa,160 000 - 169 999,Land Rover,Range Rover Sport,5.0,Importée neuve,Oui,12 CV,Excellent,345 000 DH
2023,Automatique,Diesel,"Voitures d'occasion, à vendre",Hay Alqods,80 000 - 84 999,Hyundai,Tucson,5.0,WW au Maroc,Oui,6 CV,Très bon,260 000 DH
2005,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,300 000 - 349 999,Mercedes-Benz,220,,Dédouanée,,8 CV,,110 000 DH
2017,Automatique,Hybride,"Voitures d'occasion, à vendre",Wilaya,90 000 - 94 999,Audi,Q7,5.0,Dédouanée,Oui,12 CV,Excellent,460 000 DH
2013,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,160 000 - 169 999,BMW,X3,,,,8 CV,,170 000 DH
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,90 000 - 94 999,BMW,Série 1,5.0,Dédouanée,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2022,Manuelle,Diesel,"Voitures d'occasion, à vendre",El Matar,80 000 - 84 999,Renault,Express,,WW au Maroc,Oui,5 CV,Excellent,165 000 DH
2019,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,110 000 - 119 999,Mercedes-Benz,Classe C,,,,8 CV,,440 000 DH
2006,Manuelle,Essence,"Voitures d'occasion, à vendre",Massira,100 000 - 109 999,Mercedes-Benz,280,5.0,WW au Maroc,Non,15 CV,Très bon,PRIX NON SPÉCIFIÉ
2016,Automatique,Diesel,"Voitures d'occasion, à vendre",Ain Amiyer,120 000 - 129 999,Maserati,Ghibli,5.0,WW au Maroc,Oui,12 CV,Excellent,PRIX NON SPÉCIFIÉ
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Al Kodia,110 000 - 119 999,Ford,Focus,5.0,Dédouanée,Oui,6 CV,Excellent,PRIX NON SPÉCIFIÉ
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",El Houda,5 000 - 9 999,Mercedes-Benz,Classe CLA,5.0,WW au Maroc,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2024,Automatique,Essence,"Voitures d'occasion, à vendre",Route Ain Chkaf,20 000 - 24 999,Audi,A3,5.0,Dédouanée,Oui,20 CV,Excellent,PRIX NON SPÉCIFIÉ
2018,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,180 000 - 189 999,Renault,Megane,,,,6 CV,,160 000 DH
2023,Automatique,Diesel,"Voitures d'occasion, à vendre",Hay Al Massar,65 000 - 69 999,Hyundai,Creta,5.0,WW au Maroc,Oui,6 CV,Excellent,PRIX NON SPÉCIFIÉ
2016,Automatique,Diesel,"Voitures d'occasion, à vendre",Agdal,180 000 - 189 999,Volkswagen,Touareg,5.0,WW au Maroc,Non,12 CV,Excellent,214 998 DH
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Anfa,60 000 - 64 999,Mercedes-Benz,Classe GLE,5.0,WW au Maroc,Oui,8 CV,Excellent,720 000 DH
2022,Manuelle,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,120 000 - 129 999,Dacia,Sandero,5.0,WW au Maroc,Non,6 CV,Très bon,139 998 DH
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,95 000 - 99 999,BMW,Série 3,,,,8 CV,,310 000 DH
2022,Manuelle,Essence,"Voitures d'occasion, à vendre",Ain Sebaa,100 000 - 109 999,Kia,Picanto,5.0,WW au Maroc,Non,6 CV,Très bon,108 998 DH
2022,Automatique,Essence,"Voitures d'occasion, à vendre",Ain Sebaa,60 000 - 64 999,Fiat,500,5.0,WW au Maroc,Non,7 CV,Très bon,145 000 DH
2022,Automatique,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,110 000 - 119 999,Hyundai,Tucson,5.0,WW au Maroc,Oui,6 CV,Très bon,297 997 DH
2023,Automatique,Essence,"Voitures d'occasion, à vendre",El Houda,0 - 4 999,Fiat,500,3.0,WW au Maroc,Oui,6 CV,Excellent,PRIX NON SPÉCIFIÉ
2019,Automatique,Diesel,"Voitures d'occasion, à vendre",El Houda,45 000 - 49 999,Mercedes-Benz,Classe E,5.0,WW au Maroc,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,120 000 - 129 999,Dacia,Duster,5.0,WW au Maroc,Oui,6 CV,Très bon,192 998 DH
2019,Manuelle,Diesel,"Voitures d'occasion, à vendre",Jerifat,50 000 - 54 999,Dacia,Logan,5.0,WW au Maroc,Oui,6 CV,Neuf,117 000 DH
2012,Manuelle,Essence,"Voitures d'occasion, à vendre",Riad Oulad Mtaa,120 000 - 129 999,Mini,CountryMan,5.0,WW au Maroc,Non,8 CV,Neuf,103 000 DH
2020,Manuelle,Diesel,"Voitures d'occasion, à vendre",Guich Oudaya,80 000 - 84 999,Dacia,Sandero,5.0,WW au Maroc,Oui,6 CV,Très bon,PRIX NON SPÉCIFIÉ
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,80 000 - 84 999,Volkswagen,Golf 7,5.0,WW au Maroc,Non,8 CV,Très bon,215 000 DH
2005,Manuelle,Diesel,"Voitures d'occasion, à vendre",Hay Mohammadi,200 000 - 249 999,Hyundai,Accent,5.0,WW au Maroc,Non,6 CV,Excellent,45 000 DH
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Agdal,70 000 - 74 999,Mercedes-Benz,Classe A,5.0,WW au Maroc,Oui,8 CV,Excellent,285 000 DH
2012,Manuelle,Diesel,"Voitures d'occasion, à vendre",Al Madina Aljadida,180 000 - 189 999,Volkswagen,Passat,5.0,WW au Maroc,Non,8 CV,Excellent,120 000 DH
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Centre,95 000 - 99 999,Dacia,Duster,,WW au Maroc,Non,6 CV,Excellent,185 000 DH
2022,Automatique,Diesel,"Voitures d'occasion, à vendre",Aïn Chock,40 000 - 44 999,Porsche,Macan,5.0,Dédouanée,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2022,Automatique,Hybride,"Voitures d'occasion, à vendre",Sala El Jadida,40 000 - 44 999,Toyota,C-HR,5.0,WW au Maroc,Oui,10 CV,Excellent,237 000 DH
2023,Manuelle,Diesel,"Voitures d'occasion, à vendre",Centre,30 000 - 34 999,Renault,Express,,WW au Maroc,Oui,6 CV,Excellent,158 000 DH
2011,Automatique,Diesel,"Voitures d'occasion, à vendre",Hay el Fath,200 000 - 249 999,Mercedes-Benz,Classe CLS,,Importée neuve,,12 CV,Neuf,PRIX NON SPÉCIFIÉ
2024,Automatique,Hybride,"Voitures d'occasion, à vendre",Malabata,15 000 - 19 999,Land Rover,Range Rover Sport,5.0,Importée neuve,Oui,17 CV,Excellent,1 800 000 DH
2018,Automatique,Diesel,"Voitures d'occasion, à vendre",Mimosas,120 000 - 129 999,Volkswagen,Golf 7,5.0,Dédouanée,Non,8 CV,Très bon,275 000 DH
2025,Automatique,Essence,"Voitures d'occasion, à vendre",Aïn Chock,0 - 4 999,Audi,A3,5.0,Importée neuve,Oui,11 CV,Neuf,PRIX NON SPÉCIFIÉ
2018,Manuelle,Diesel,"Voitures d'occasion, à vendre",Centre,120 000 - 129 999,Volkswagen,Tiguan,5.0,Dédouanée,Non,9 CV,Très bon,290 000 DH
2008,Manuelle,Diesel,"Voitures d'occasion, à vendre",Autre secteur,25 000 - 29 999,Mercedes-Benz,Classe C,5.0,Dédouanée,Non,12 CV,Très bon,115 000 DH
2017,Automatique,Diesel,"Voitures d'occasion, à vendre",Centre,120 000 - 129 999,Volkswagen,Coccinelle,5.0,WW au Maroc,Oui,8 CV,Neuf,197 000 DH
2009,Manuelle,Diesel,"Voitures d'occasion, à vendre",Hay Essalam,300 000 - 349 999,Mercedes-Benz,220,5.0,Dédouanée,Non,9 CV,Excellent,127 000 DH
2020,Manuelle,Diesel,"Voitures d'occasion, à vendre",Route de Sefrou,160 000 - 169 999,Renault,Clio,5.0,WW au Maroc,Oui,6 CV,Excellent,115 000 DH
2019,Manuelle,Diesel,"Voitures d'occasion, à vendre",Almaz,190 000 - 199 999,Mercedes-Benz,Vito,5.0,WW au Maroc,Oui,9 CV,Excellent,PRIX NON SPÉCIFIÉ
2022,Manuelle,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,120 000 - 129 999,Dacia,Sandero,5.0,WW au Maroc,Non,6 CV,Très bon,139 998 DH
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,95 000 - 99 999,BMW,Série 3,,,,8 CV,,310 000 DH
2022,Manuelle,Essence,"Voitures d'occasion, à vendre",Ain Sebaa,100 000 - 109 999,Kia,Picanto,5.0,WW au Maroc,Non,6 CV,Très bon,108 998 DH
2022,Automatique,Essence,"Voitures d'occasion, à vendre",Ain Sebaa,60 000 - 64 999,Fiat,500,5.0,WW au Maroc,Non,7 CV,Très bon,145 000 DH
2022,Automatique,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,110 000 - 119 999,Hyundai,Tucson,5.0,WW au Maroc,Oui,6 CV,Très bon,297 997 DH
2023,Automatique,Essence,"Voitures d'occasion, à vendre",El Houda,0 - 4 999,Fiat,500,3.0,WW au Maroc,Oui,6 CV,Excellent,PRIX NON SPÉCIFIÉ
2019,Automatique,Diesel,"Voitures d'occasion, à vendre",El Houda,45 000 - 49 999,Mercedes-Benz,Classe E,5.0,WW au Maroc,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,120 000 - 129 999,Dacia,Duster,5.0,WW au Maroc,Oui,6 CV,Très bon,192 998 DH
2019,Manuelle,Diesel,"Voitures d'occasion, à vendre",Jerifat,50 000 - 54 999,Dacia,Logan,5.0,WW au Maroc,Oui,6 CV,Neuf,117 000 DH
2012,Manuelle,Essence,"Voitures d'occasion, à vendre",Riad Oulad Mtaa,120 000 - 129 999,Mini,CountryMan,5.0,WW au Maroc,Non,8 CV,Neuf,103 000 DH
2020,Manuelle,Diesel,"Voitures d'occasion, à vendre",Guich Oudaya,80 000 - 84 999,Dacia,Sandero,5.0,WW au Maroc,Oui,6 CV,Très bon,PRIX NON SPÉCIFIÉ
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Ain Sebaa,80 000 - 84 999,Volkswagen,Golf 7,5.0,WW au Maroc,Non,8 CV,Très bon,215 000 DH
2005,Manuelle,Diesel,"Voitures d'occasion, à vendre",Hay Mohammadi,200 000 - 249 999,Hyundai,Accent,5.0,WW au Maroc,Non,6 CV,Excellent,45 000 DH
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Agdal,70 000 - 74 999,Mercedes-Benz,Classe A,5.0,WW au Maroc,Oui,8 CV,Excellent,285 000 DH
2012,Manuelle,Diesel,"Voitures d'occasion, à vendre",Al Madina Aljadida,180 000 - 189 999,Volkswagen,Passat,5.0,WW au Maroc,Non,8 CV,Excellent,120 000 DH
2020,Automatique,Diesel,"Voitures d'occasion, à vendre",Centre,95 000 - 99 999,Dacia,Duster,,WW au Maroc,Non,6 CV,Excellent,185 000 DH
2022,Automatique,Diesel,"Voitures d'occasion, à vendre",Aïn Chock,40 000 - 44 999,Porsche,Macan,5.0,Dédouanée,Oui,8 CV,Excellent,PRIX NON SPÉCIFIÉ
2022,Automatique,Hybride,"Voitures d'occasion, à vendre",Sala El Jadida,40 000 - 44 999,Toyota,C-HR,5.0,WW au Maroc,Oui,10 CV,Excellent,237 000 DH
2023,Manuelle,Diesel,"Voitures d'occasion, à vendre",Centre,30 000 - 34 999,Renault,Express,,WW au Maroc,Oui,6 CV,Excellent,158 000 DH
2011,Automatique,Diesel,"Voitures d'occasion, à vendre",Hay el Fath,200 000 - 249 999,Mercedes-Benz,Classe CLS,,Importée neuve,,12 CV,Neuf,PRIX NON SPÉCIFIÉ
2024,Automatique,Hybride,"Voitures d'occasion, à vendre",Malabata,15 000 - 19 999,Land Rover,Range Rover Sport,5.0,Importée neuve,Oui,17 CV,Excellent,1 800 000 DH
2018,Automatique,Diesel,"Voitures d'occasion, à vendre",Mimosas,120 000 - 129 999,Volkswagen,Golf 7,5.0,Dédouanée,Non,8 CV,Très bon,275 000 DH
2025,Automatique,Essence,"Voitures d'occasion, à vendre",Aïn Chock,0 - 4 999,Audi,A3,5.0,Importée neuve,Oui,11 CV,Neuf,PRIX NON SPÉCIFIÉ
2018,Manuelle,Diesel,"Voitures d'occasion, à vendre",Centre,120 000 - 129 999,Volkswagen,Tiguan,5.0,Dédouanée,Non,9 CV,Très bon,290 000 DH
2008,Manuelle,Diesel,"Voitures d'occasion, à vendre",Autre secteur,25 000 - 29 999,Mercedes-Benz,Classe C,5.0,Dédouanée,Non,12 CV,Très bon,115 000 DH
2017,Automatique,Diesel,"Voitures d'occasion, à vendre",Centre,120 000 - 129 999,Volkswagen,Coccinelle,5.0,WW au Maroc,Oui,8 CV,Neuf,197 000 DH
2009,Manuelle,Diesel,"Voitures d'occasion, à vendre",Hay Essalam,300 000 - 349 999,Mercedes-Benz,220,5.0,Dédouanée,Non,9 CV,Excellent,127 000 DH
2020,Manuelle,Diesel,"Voitures d'occasion, à vendre",Route de Sefrou,160 000 - 169 999,Renault,Clio,5.0,WW au Maroc,Oui,6 CV,Excellent,115 000 DH
2019,Manuelle,Diesel,"Voitures d'occasion, à vendre",Almaz,190 000 - 199 999,Mercedes-Benz,Vito,5.0,WW au Maroc,Oui,9 CV,Excellent,PRIX NON SPÉCIFIÉ
2025,Automatique,Essence,"Voitures d'occasion, à vendre",Aïn Chock,0 - 4 999,Mercedes-Benz,Classe C,5.0,Importée neuve,,17 CV,Neuf,PRIX NON SPÉCIFIÉ
2015,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,160 000 - 169 999,BMW,X5,,,,12 CV,,270 000 DH
2012,Automatique,Essence,"Voitures d'occasion, à vendre",Toute la ville,130 000 - 139 999,Suzuki,Celerio,5.0,,Non,6 CV,Très bon,68 000 DH
2012,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,200 000 - 249 999,BMW,Série 3,5.0,WW au Maroc,Oui,8 CV,Excellent,150 000 DH
2022,Automatique,Essence,"Voitures d'occasion, à vendre",Route Ain Chkaf,65 000 - 69 999,Hyundai,i10,5.0,WW au Maroc,Oui,6 CV,Excellent,135 000 DH
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Bettana,55 000 - 59 999,BMW,X3,5.0,WW au Maroc,Oui,8 CV,Neuf,440 000 DH
2018,Manuelle,Diesel,"Voitures d'occasion, à vendre",Centre,120 000 - 129 999,Volkswagen,Tiguan,5.0,Dédouanée,Non,9 CV,Très bon,290 000 DH
2008,Manuelle,Diesel,"Voitures d'occasion, à vendre",Autre secteur,25 000 - 29 999,Mercedes-Benz,Classe C,5.0,Dédouanée,Non,12 CV,Très bon,115 000 DH
2017,Automatique,Diesel,"Voitures d'occasion, à vendre",Centre,120 000 - 129 999,Volkswagen,Coccinelle,5.0,WW au Maroc,Oui,8 CV,Neuf,197 000 DH
2009,Manuelle,Diesel,"Voitures d'occasion, à vendre",Hay Essalam,300 000 - 349 999,Mercedes-Benz,220,5.0,Dédouanée,Non,9 CV,Excellent,127 000 DH
2020,Manuelle,Diesel,"Voitures d'occasion, à vendre",Route de Sefrou,160 000 - 169 999,Renault,Clio,5.0,WW au Maroc,Oui,6 CV,Excellent,115 000 DH
2019,Manuelle,Diesel,"Voitures d'occasion, à vendre",Almaz,190 000 - 199 999,Mercedes-Benz,Vito,5.0,WW au Maroc,Oui,9 CV,Excellent,PRIX NON SPÉCIFIÉ
2025,Automatique,Essence,"Voitures d'occasion, à vendre",Aïn Chock,0 - 4 999,Mercedes-Benz,Classe C,5.0,Importée neuve,,17 CV,Neuf,PRIX NON SPÉCIFIÉ
2015,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,160 000 - 169 999,BMW,X5,,,,12 CV,,270 000 DH
2012,Automatique,Essence,"Voitures d'occasion, à vendre",Toute la ville,130 000 - 139 999,Suzuki,Celerio,5.0,,Non,6 CV,Très bon,68 000 DH
2012,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,200 000 - 249 999,BMW,Série 3,5.0,WW au Maroc,Oui,8 CV,Excellent,150 000 DH
2022,Automatique,Essence,"Voitures d'occasion, à vendre",Route Ain Chkaf,65 000 - 69 999,Hyundai,i10,5.0,WW au Maroc,Oui,6 CV,Excellent,135 000 DH
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Bettana,55 000 - 59 999,BMW,X3,5.0,WW au Maroc,Oui,8 CV,Neuf,440 000 DH
2021,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,110 000 - 119 999,BMW,Série 1,,,,6 CV,,279 000 DH
2019,Manuelle,Diesel,"Voitures d'occasion, à vendre",Sidi Bernoussi,130 000 - 139 999,Dacia,Logan,5.0,WW au Maroc,Oui,6 CV,Neuf,114 000 DH
2017,Automatique,Diesel,"Voitures d'occasion, à vendre",Autre secteur,90 000 - 94 999,Mercedes-Benz,Classe E,,,,8 CV,,510 000 DH
